feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bray_Curtis	Confinement	Level_2	-1.42645036893082	0.226794769252484	16	16	5.92271994931686e-05	0.0018952703837814
chao1_richness	Confinement	Level_2	0.000799167580581686	0.000139944589001889	16	16	0.000136044336523004	0.00202338220289709
Bray_Curtis	Confinement	Level_3	-1.27208235813224	0.231801879713844	16	16	0.000189692081521603	0.00202338220289709
shannon	Confinement	Level_2	-0.329399308071936	0.0635390902995356	16	16	0.000301778957032254	0.00241423165625803
pielou_evenness	Confinement	Level_2	-0.392256958117266	0.0949762249365626	16	16	0.00167196506635107	0.0107005764246469
evar_evenness	Confinement	Level_2	-0.326200024374637	0.0821703453934152	16	16	0.00219684219308476	0.0117164916964521
chao1_richness	Confinement	Level_3	0.000487743300917987	0.000143034245866162	16	16	0.00582549171963848	0.0266308192897759
shannon	Confinement	Level_3	-0.197687629648928	0.0649418882776052	16	16	0.0111651380538725	0.041231940259634
bulla_evenness	Confinement	Level_2	-0.315087030919523	0.104235040695793	16	16	0.0115964831980221	0.041231940259634
simpson_evenness	Confinement	Level_2	-0.976772317909103	0.377408337353844	16	16	0.0252232910529803	0.0807145313695369
shannon	Time_point	3	0.087189990869734	0.0360232781708245	16	16	0.0339840553044357	0.0988627063401767
Bray_Curtis	Time_point	3	0.291161135423418	0.128580548162647	16	16	0.0447432110813704	0.119315229550321
pielou_evenness	Confinement	Level_3	-0.192762080389877	0.0970730830388365	16	16	0.0725534535835803	0.175598593185778
evar_evenness	Confinement	Level_3	-0.163957540120907	0.0839844789265169	16	16	0.0768243845187779	0.175598593185778
chao1_richness	Time_point	3	-0.000148520524876218	7.93411242488877e-05	16	16	0.0880280314476999	0.187793133755093
